Code word;Área de Al (kcmil);Filamentos Al/Aço;Camadas de Al;diâmetro externo (mm);"rmg
(mm)";20°C (?/km);20°C (?/km);50°C (?/km);alpha (1/°C);75;Peso (kgf/km);Carga de Ruptura (kgf);p/T;Coeficiente de expansão linear (10-6/°C);Módulo de Elasticidade Inicial (MPa);Módulo de Elasticidade Final        (MPa);Preço por km (R$/km);Bobina (m)
Waxwing;266,8;18/1;2; 15,47 ; 6,04 ; 0,2119 ; 0,2168 ; 0,2381 ; 0,003278 ; 0,255863 ;432;3140,73;0,14;21,44;41900;66200;R$ 41.121,54; 4.376,93 
Partridge;266,8;26/7;2; 16,31 ; 6,61 ; 0,2100 ; 0,2145 ; 0,2357 ; 0,003283 ; 0,253284 ;547;5078,19;0,11;19,37;52400;77100;R$ 52.006,65; 3.148,58 
Ostrich;300;26/7;2; 17,27 ; 6,98 ; 0,1867 ; 0,1908 ; 0,2096 ; 0,003279 ; 0,225212 ;616;5628,83;0,11;19,38;51500;77000;R$ 58.356,30; 3.310,13 
Merlin;336,4;18/1;2; 17,37 ; 6,77 ; 0,1680 ; 0,1720 ; 0,1888 ; 0,003253 ; 0,202735 ;544;3905,51;0,14;21,44;41300;66200;R$ 51.704,29; 3.471,67 
Linnet;336,4;26/7;2; 18,31 ; 7,41 ; 0,1663 ; 0,1701 ; 0,1868 ; 0,003276 ; 0,200756 ;692;6240,66;0,11;19,37;50900;77100;R$ 65.613,04; 4.995,67 
Oriole;336,4;30/7;2; 18,82 ; 7,77 ; 0,1654 ; 0,1690 ; 0,1856 ; 0,003286 ; 0,199524 ;787;7566,29;0,10;18,43;55300;83400;R$ 74.683,97; 2.874,26 
Chickadee;397,5;18/1;2; 18,87 ; 7,35 ; 0,1421 ; 0,1456 ; 0,1599 ; 0,003274 ; 0,171763 ;642;4624,00;0,14;18,905;52700;80200;R$ 61.077,58; 2.935,22 
Ibis;397,5;26/7;2; 19,89 ; 8,05 ; 0,1411 ; 0,1444 ; 0,1585 ; 0,003272 ; 0,170354 ;816;7239,99;0,11;19,38;50100;77000;R$ 77.405,25; 4.227,58 
Pelican;477;18/1;2; 20,68 ; 8,05 ; 0,1184 ; 0,1216 ; 0,1335 ; 0,003253 ; 0,143391 ;775;5486,07;0,14;21,44;40700;66200;R$ 73.474,51; 2.447,54 
Flicker;477;24/7;2; 21,49 ; 8,66 ; 0,1178 ; 0,1208 ; 0,1326 ; 0,003277 ; 0,142521 ;916;7709,05;0,12;19,91;47300;73900;R$ 87.080,90; 3.249,17 
Hawk;477;26/7;2; 21,79 ; 8,81 ; 0,1171 ; 0,1200 ; 0,1318 ; 0,003263 ; 0,141548 ;981;8596,21;0,11;19,36;49500;77100;R$ 93.128,19; 3.523,49 
Hen;477;30/7;2; 22,43 ; 9,27 ; 0,1165 ; 0,1193 ; 0,1310 ; 0,003266 ; 0,140688 ;1110;10503,08;0,11;18,43;53900;83400;R$ 105.827,48; 2.026,92 
Osprey;556,5;18/1;2; 22,33 ; 8,66 ; 0,1014 ; 0,1044 ; 0,1145 ; 0,003256 ; 0,123037 ;904;6373,23;0,14;21,44;40500;66200;R$ 85.569,08; 2.100,07 
Parakeet;556,5;24/7;2; 23,22 ; 9,33 ; 0,1010 ; 0,1037 ; 0,1139 ; 0,003255 ; 0,122302 ;1069;8902,12;0,12;19,91;46800;73800;R$ 101.594,39; 2.785,87 
Dove;556,5;26/7;2; 23,55 ; 9,57 ; 0,1007 ; 0,1034 ; 0,1135 ; 0,003267 ; 0,121929 ;1150;9932,04;0,12;19,38;49000;77000;R$ 108.548,76; 3.020,57 
Rook;636;24/7;2; 24,82 ; 9,97 ; 0,0883 ; 0,0908 ; 0,0996 ; 0,003240 ; 0,106982 ;1224;10115,58;0,12;19,91;46500;73800;R$ 116.107,87; 3.657,60 
Grosbeak;636;26/7;2; 25,15 ; 10,21 ; 0,0879 ; 0,0904 ; 0,0992 ; 0,003255 ; 0,106547 ;1310;11318,85;0,12;19,37;48800;77100;R$ 123.969,34; 3.965,45 
Tern;795;45/7;3; 27,00 ; 10,73 ; 0,0712 ; 0,0738 ; 0,0809 ; 0,003199 ; 0,086824 ;1340;10064,60;0,13;21,12;42900;66600;R$ 126.992,98; 3.169,92 
Drake;795;26/7;2; 28,14 ; 11,37 ; 0,0705 ; 0,0728 ; 0,0798 ; 0,003185 ; 0,085602 ;1630;13970,11;0,12;19,38;48400;77000;R$ 155.112,86; 5.486,40 
Rail;954;45/7;3; 29,59 ; 11,77 ; 0,0594 ; 0,0620 ; 0,0679 ; 0,003176 ; 0,072788 ;1610;11930,68;0,13;21,11;42400;66700;R$ 152.391,58; 4.572,00 
Cardinal;954;54/7;3; 30,38 ; 12,25 ; 0,0591 ; 0,0614 ; 0,0672 ; 0,003171 ; 0,072115 ;1840;15193,77;0,12;19,91;46900;73200;R$ 174.161,80; 4.754,88 
Ortolan;1033,5;45/7;3; 30,81 ; 12,25 ; 0,0548 ; 0,0574 ; 0,0628 ; 0,003139 ; 0,067340 ;1860;16000,00;0,12;20,52;44450;69900;R$ 188.675,29; 4.221,48 
Bluejay;1113;45/7;3; 31,98 ; 12,65 ; 0,0509 ; 0,0535 ; 0,0585 ; 0,003097 ; 0,062627 ;1870;13766,17;0,14;21,13;42000;66600;R$ 177.790,17; 3.916,68 
Finch;1113;54/19;3; 32,84 ; 13,29 ; 0,0509 ; 0,0532 ; 0,0582 ; 0,003154 ; 0,062430 ;2138;17947,01;0,12;19,97;47300;72300;R$ 202.886,41; 3.672,84 
Bittern;1272;45/7;3; 34,16 ; 13,53 ; 0,0446 ; 0,0474 ; 0,0517 ; 0,003062 ; 0,055335 ;2130;15703,63;0,14;21,11;41900;66700;R$ 203.188,77; 3.429,00 
Pheasant;1272;54/19;3; 35,10 ; 14,20 ; 0,0443 ; 0,0467 ; 0,0510 ; 0,003107 ; 0,054651 ;2440;20292,35;0,12;19,97;46900;72300;R$ 231.913,37; 3.550,92 
Bobolink;1431;45/7;3; 36,25 ; 14,33 ; 0,0397 ; 0,0425 ; 0,0464 ; 0,003021 ; 0,049575 ;2400;17390,00;0,14;19,97;46700;72250;R$ 228.587,37; 3.048,00 
Plover;1431;54/19;3; 37,21 ; 15,06 ; 0,0394 ; 0,0418 ; 0,0457 ; 0,003071 ; 0,048892 ;2740;22637,70;0,12;19,97;46500;72200;R$ 260.940,34; 2.895,60 
Lapwing;1590;45/7;3; 38,15 ; 15,18 ; 0,0358 ; 0,0387 ; 0,0421 ; 0,002943 ; 0,044987 ;2660;19374,61;0,14;21,12;41600;66700;R$ 253.985,96; 2.743,20 
Falcon;1590;54/19;3; 39,24 ; 15,94 ; 0,0354 ; 0,0380 ; 0,0415 ; 0,002996 ; 0,044303 ;3040;25085,02;0,12;19,96;46400;72300;R$ 289.664,94; 2.840,74 
Bluebird;2156;84/19;4; 44,75 ; 17,86 ; 0,0262 ; 0,0296 ; 0,0320 ; 0,002731 ; 0,034027 ;3467;28608,29;0,12;19,96;46400;72300;R$ 355.882,71; 2.286,00 
